townland_name,has_parish,has_barony,has_county,detected_at
BARNACLEAGH SOUTH,False,False,False,2026-06-09
CLONWILLIAM,False,False,False,2026-06-09
KILLAHURLER LOWER,False,False,False,2026-06-09
KILLAHURLER UPPER,False,False,False,2026-06-09
KNOCKMILLER,False,False,False,2026-06-09
MONAGLOGH,False,False,False,2026-06-09
MOORESHILL,False,False,False,2026-06-09
RAHEENLEAGH,False,False,False,2026-06-09
SLIEVEFOORE,False,False,False,2026-06-09
BALLYGUILE BEG,False,False,False,2026-06-09
BALLYGUILE MORE,False,False,False,2026-06-09
BLAINROE LOWER,False,False,False,2026-06-09
BLAINROE UPPER,False,False,False,2026-06-09
CORPORATION LANDS,False,False,False,2026-06-09
DUNBUR HEAD,False,False,False,2026-06-09
DUNBUR LOWER,False,False,False,2026-06-09
DUNBUR UPPER,False,False,False,2026-06-09
KILPOOLE HILL,False,False,False,2026-06-09
KILPOOLE LOWER,False,False,False,2026-06-09
KILPOOLE UPPER,False,False,False,2026-06-09
DO INFIRMARY,False,False,False,2026-06-09
DO GAOL,False,False,False,2026-06-09
BALLINTIM,False,False,False,2026-06-09
BALLINVALLY LOWER ED ENNEREILLY,False,False,False,2026-06-09
BALLINVALLY UPPER ED ENNEREILLY,False,False,False,2026-06-09
BALLYDONNELL,False,False,False,2026-06-09
BALLYGILLAROE,False,False,False,2026-06-09
BALLYKEAN ANNESLEY,False,False,False,2026-06-09
BALLYKEAN PENROSE,False,False,False,2026-06-09
BALLYKEAN STRINGER,False,False,False,2026-06-09
BALLYNAMONA,False,False,False,2026-06-09
BALLYROGAN LOWER,False,False,False,2026-06-09
BALLYROGAN UPPER,False,False,False,2026-06-09
BLINDWOOD,False,False,False,2026-06-09
CHAPEL,False,False,False,2026-06-09
COOLANEARL,False,False,False,2026-06-09
CRONE LOWER,False,False,False,2026-06-09
CRONE UPPER,False,False,False,2026-06-09
KILMACREA LOWER,False,False,False,2026-06-09
KILMACREA UPPER,False,False,False,2026-06-09
KILMURRY NORTH,False,False,False,2026-06-09
KILMURRY SOUTH,False,False,False,2026-06-09
OGHIL LOWER,False,False,False,2026-06-09
OGHIL UPPER,False,False,False,2026-06-09
RAHAVAL,False,False,False,2026-06-09
REDCROSS,False,False,False,2026-06-09
SPRINGFARM,False,False,False,2026-06-09
TEMPLELYON LOWER,False,False,False,2026-06-09
TEMPLELYON UPPER,False,False,False,2026-06-09
REDCROSS T,False,False,False,2026-06-09
TOTAL OF BARONY,False,False,False,2026-06-09
BALLINASTOE,False,False,False,2026-06-09
BALLINRUSH,False,False,False,2026-06-09
GLASNAMULLEN,False,False,False,2026-06-09
MULLINAVEIGE,False,False,False,2026-06-09
SLEAMAINE OR BALLINVALLA,False,False,False,2026-06-09
SRAGHMORE,False,False,False,2026-06-09
ASHTOWN OR BALLINAFUNSHOGE,False,False,False,2026-06-09
BALLINACORBEG,False,False,False,2026-06-09
BALTYNANIMA,False,False,False,2026-06-09
BROCKAGH,False,False,False,2026-06-09
CARRIGEENDUFF,False,False,False,2026-06-09
CARRIGEENSHINNAGH,False,False,False,2026-06-09
CASTLEKEVIN,False,False,False,2026-06-09
DERRYBAWN,False,False,False,2026-06-09
GLEBE ED GLENDALOUGH,False,False,False,2026-06-09
LARAGH EAST,False,False,False,2026-06-09
LARAGH WEST,False,False,False,2026-06-09
RAHEEN ED GLENDALOUGH,False,False,False,2026-06-09
ROUNDWOOD,False,False,False,2026-06-09
SEVENCHURCHES OR CAMADERRY,False,False,False,2026-06-09
TOGHER BEG,False,False,False,2026-06-09
TOGHER MORE,False,False,False,2026-06-09
TOMDARRAGH,False,False,False,2026-06-09
TOMRILAND,False,False,False,2026-06-09
BROCKAGH TOWN,False,False,False,2026-06-09
BALLARDPARK,False,False,False,2026-06-09
BALLINABARNY,False,False,False,2026-06-09
BALLINATUNSHOGE,False,False,False,2026-06-09
BALLINAGONEEN,False,False,False,2026-06-09
BALLINTOMBAY LOWER,False,False,False,2026-06-09
