source_file,source_townland,source_townland_upper,geojson_townland,match_type,match_score,record_count,approval_status
wicklow-census-data.csv,RATHDRUM,RATHDRUM,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,COOLKENNA,COOLKENNA,COOLKENNA,EXACT,100,1539,APPROVED
wicklow-census-data.csv,DUNGANSTOWN EAST,DUNGANSTOWN EAST,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,PARKMORE (Page),PARKMORE (PAGE),PARKMORE (Page),EXACT,100,1539,APPROVED
wicklow-census-data.csv,COOLINARRIG UPPER,COOLINARRIG UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLINAGAPPOGE,BALLINAGAPPOGE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALISLAND,BALISLAND,BALISLAND,EXACT,100,1539,APPROVED
wicklow-census-data.csv,BALLYLUG,BALLYLUG,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,SLIEVEBOY UPPER,SLIEVEBOY UPPER,SLIEVEBOY UPPER,EXACT,100,1539,APPROVED
wicklow-census-data.csv,RATHSHANMORE WEST,RATHSHANMORE WEST,RATHSHANMORE WEST,EXACT,100,1539,APPROVED
wicklow-census-data.csv,CORNDOG,CORNDOG,CORNDOG,EXACT,100,1539,APPROVED
wicklow-census-data.csv,NEWCOURT,NEWCOURT,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,FERRYBANK,FERRYBANK,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BLACKDITCH,BLACKDITCH,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KNOCKAPHRUMPA,KNOCKAPHRUMPA,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,STRANAHELY,STRANAHELY,STRANAKELLY,FUZZY,86,1539,PENDING
wicklow-census-data.csv,BALLINAHINCH (ED Killiskey),BALLINAHINCH (ED KILLISKEY),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,LISHEENS,LISHEENS,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,TALBOTSTOWN UPPER,TALBOTSTOWN UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MULLANNASKEAGH,MULLANNASKEAGH,MULLANNASKEAGH,EXACT,100,1539,APPROVED
wicklow-census-data.csv,KNOCKANREE UPPER,KNOCKANREE UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,TOGHER MORE,TOGHER MORE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,DO INFIRMARY,DO INFIRMARY,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BOLAGH LOWER,BOLAGH LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MOUNT KENNEDY DEMESNE,MOUNT KENNEDY DEMESNE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MONAMUCK,MONAMUCK,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BOLAGH UPPER,BOLAGH UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MUCKLAGH (ED Ballinacor),MUCKLAGH (ED BALLINACOR),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,NEWTOWN (ED Wicklow Rural),NEWTOWN (ED WICKLOW RURAL),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KNOCKIERAN LOWER,KNOCKIERAN LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BROCKAGH TOWN,BROCKAGH TOWN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYHOOK DEMESNE,BALLYHOOK DEMESNE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLANAGH,BALLANAGH,BALLAGH,FUZZY,88,1539,PENDING
wicklow-census-data.csv,BALLYCLOGH SOUTH,BALLYCLOGH SOUTH,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,CRAFFIELD,CRAFFIELD,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYHARA (ED Wicklow Rural),BALLYHARA (ED WICKLOW RURAL),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BARNACLEAGH SOUTH,BARNACLEAGH SOUTH,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLINABRANNAGH,BALLINABRANNAGH,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,RAHEENGLASS,RAHEENGLASS,RAHEENGLASS,EXACT,100,1539,APPROVED
wicklow-census-data.csv,BALLINROAN UPPER,BALLINROAN UPPER,BALLINGATE UPPER,FUZZY,81,1539,PENDING
wicklow-census-data.csv,KNOCKANDUFF,KNOCKANDUFF,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,GRANGECON HILL,GRANGECON HILL,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,HUMPHRYSTOWN,HUMPHRYSTOWN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KISH,KISH,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,FAUNA,FAUNA,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,FURZEDITCH EAST,FURZEDITCH EAST,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,TULLOWCLAY,TULLOWCLAY,TULLOWCLAY,EXACT,100,1539,APPROVED
wicklow-census-data.csv,GLEBE (ED Wicklow Rural),GLEBE (ED WICKLOW RURAL),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,CRISSADAUN,CRISSADAUN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,IRISHTOWN,IRISHTOWN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLINAGEE,BALLINAGEE,BALLINGLEN,FUZZY,80,1539,PENDING
wicklow-census-data.csv,BALLYKNOCKER WEST,BALLYKNOCKER WEST,BALLYKNOCKER WEST,EXACT,100,1539,APPROVED
wicklow-census-data.csv,KILLADREENAN,KILLADREENAN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,ROSTYDUFF LOWER,ROSTYDUFF LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILRUDDERY DEERPARK (ED Delgany),KILRUDDERY DEERPARK (ED DELGANY),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,OGHIL UPPER,OGHIL UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,YARDLAND,YARDLAND,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYBAWN UPPER,BALLYBAWN UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,CARRICK,CARRICK,CARRICK,EXACT,100,1539,APPROVED
wicklow-census-data.csv,BALLYROSS,BALLYROSS,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLINACOR EAST,BALLINACOR EAST,BALLINACOR,FUZZY,80,1539,PENDING
wicklow-census-data.csv,KNOCKROBIN,KNOCKROBIN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,CAMENABOLOGUE,CAMENABOLOGUE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,DECOY,DECOY,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,CLOGHOGE,CLOGHOGE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,TABLE MOUNTAIN,TABLE MOUNTAIN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLINACOR (ED Ballinacor),BALLINACOR (ED BALLINACOR),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,ROSTYDUFF UPPER,ROSTYDUFF UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MACREDDIN EAST,MACREDDIN EAST,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYNERRIN (ED Kilcoole),BALLYNERRIN (ED KILCOOLE),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYBAWN LOWER,BALLYBAWN LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MOUNTUSHER,MOUNTUSHER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,HIGHPARK LOWER,HIGHPARK LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KNOCKBANE,KNOCKBANE,,NO_MATCH,0,1539,NEEDS_REVIEW
